年度季別,全國,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市
103Q2,8.34,12.8,14.25,7.09,8.15,6.18,7.64,6.83,7.18,5.65,7.07,6.16,6.26,5.91,4.62,5.99,6.78,7.11,5.23,6.87,5.97
103Q1,7.51,12.4,14.6,6.66,7.47,5.86,7.51,6.36,7.28,5.52,6.6,5.47,5.5,5.49,4.64,5.75,6.04,7.94,4.77,6.57,5.33
102Q4,8.37,12.67,15.01,6.95,8.14,6.35,7.34,6.77,7.62,5.91,6.97,6.71,6.34,6.71,4.51,6.4,7.16,8.65,4.84,7.3,6.05
102Q3,8.95,12.9,14.88,6.93,8.02,6.22,7.62,6.61,7.89,6.53,7.08,6.3,6.51,5.65,4.63,6.57,6.62,8.36,4.84,7.35,5.66
102Q2,8.95,12.79,15.21,7.14,8.21,6.17,7.64,6.53,8.21,6.51,6.66,6.31,6.32,6.3,4.64,6.45,6.39,8,4.81,7.51,5.75
102Q1,8.35,12.22,15.52,7.34,8.37,6.45,7.47,6.46,8.53,6.48,6.24,6.32,6.14,6.1,4.59,6.48,6.6,8.16,4.78,7.51,5.38
101Q4,7.79,11.37,14.8,6.86,8.04,6.53,6.84,6.35,7.1,6.18,6.12,6.35,6.1,6.07,4.48,6.46,6.42,8.25,4.47,7.41,5.37
101Q3,7.46,11.41,15.47,6.51,7.62,6.62,6.78,6.47,6.73,6.07,5.95,6.64,6.45,5.91,4.18,6.48,6.28,8.39,4.52,6.37,5.73
101Q2,8.05,11.17,15.47,7.29,7.82,6.61,7.23,6.63,7.07,5.9,6.14,6.65,6.16,5.77,4.57,6.35,6.59,7.48,4.48,6.94,6.12
101Q1,7.44,10.33,14.47,6.48,7.55,6.19,6.46,6.75,6.88,5.8,5.81,6.73,5.9,5.84,4.58,6.26,6.36,8.04,4.4,6.88,5.77
100Q4,7.29,10.16,13.72,6.15,7.34,6.32,6.33,6.34,6.69,5.84,5.53,6.74,5.69,5.93,4.3,6.23,6.02,8.06,4.32,6.81,5.41
100Q3,7.29,10.14,14.22,6.12,7.33,6.14,6.39,5.92,6.48,5.86,5.82,6.76,5.44,6.02,4.26,6.17,6.06,8.01,4.25,6.54,5.36
100Q2,7.3,9.96,13.63,5.97,7.27,6.13,6.14,5.99,6.72,5.4,5.97,6.73,5.27,5.96,4.41,6.09,6.06,8,4.17,6.74,5.31
100Q1,7.31,9.34,12.94,5.87,7.29,6.09,6.35,5.93,6.51,5.59,5.84,6.3,5.1,5.89,4.46,6,6.06,7.98,4.19,6.56,5.2
099Q4,7.11,9.04,12.89,6.16,7.58,6.06,6.13,6.19,6.52,5.76,5.91,6.21,5.03,6.15,4.61,5.92,6.17,8.36,4.35,6.66,5.04
099Q3,7.01,9.29,12.96,5.99,6.94,5.75,5.94,6.2,6.21,5.66,5.4,6.09,4.85,5.99,4.48,5.83,6.16,8.37,4.21,6.47,4.69
099Q2,6.99,9.02,12.82,5.83,6.7,5.73,5.84,6.23,5.95,5.5,5.45,5.99,4.8,5.86,4.51,5.58,6.18,8.41,4.28,6.52,4.69
099Q1,6.8,8.61,11.97,5.88,6.43,5.5,6.13,5.85,6.02,5.46,5.59,6.11,4.73,5.96,4.39,5.49,6.23,8.16,4.33,6.54,4.67
098Q4,6.67,8.72,11.57,5.87,6.76,5.42,6.15,5.63,6.1,5.86,5.22,6.13,4.75,6.04,4.44,5.45,6.09,7.63,4.31,6.34,4.7
098Q3,6.55,8.48,10.87,5.86,6.59,5.48,6.14,5.31,6.18,6.03,5.33,6.09,4.6,5.88,4.62,5.23,6.15,7.33,4.33,6.2,4.62
098Q2,6.45,8.08,10.3,5.86,6.82,5.57,6.22,5.51,6.16,6.14,5.46,6.06,4.4,5.77,4.74,5.24,6.18,7.02,4.44,6,4.78
098Q1,6.19,7.99,9.74,5.74,6.97,5.69,5.91,5.2,5.71,5.83,5.6,6.04,4.64,5.67,4.95,5.27,6.23,6.98,4.47,5.62,5.05
097Q4,5.87,7.4,8.79,5.22,6.01,5.27,5.13,5.13,5.43,5.5,4.96,5.87,4.45,5.64,4.78,5.11,6.04,6.4,4.29,5.32,4.92
097Q3,6.09,7.81,8.65,5.49,6.23,5.35,5.55,5.05,5.5,5.54,4.96,6.27,4.19,5.81,4.83,5.36,6.09,6.07,4.21,5.71,5.28
097Q2,6.25,7.77,8.5,5.93,6.29,5.4,5.88,5.43,5.57,5.61,5.34,6.2,4.22,5.73,4.88,5.6,6.15,6.06,4.19,5.93,5.2
097Q1,6.13,7.71,8.33,5.98,6.14,5.44,5.64,5.37,5.62,5.68,5.71,6.23,4.22,5.71,4.92,5.62,6.33,6.06,4.17,6.08,5.48
096Q4,5.76,7.77,8.28,6.03,6.34,5.55,5.88,5.35,5.96,5.69,5.72,6.41,4.69,5.73,5.02,5.99,6.56,5.84,4.17,6.19,5.68
096Q3,5.33,7.74,8.21,6.13,6.48,5.61,6.07,5.3,6.03,5.76,5.62,6.16,4.77,5.72,5.08,6.04,6.58,5.86,4.1,6.18,5.56
096Q2,5.46,7.7,8.14,6.24,6.03,5.65,6.35,5.25,5.6,6.31,5.59,6.25,4.86,5.72,5.13,6.09,6.92,5.89,4.02,6.05,5.43
096Q1,5.15,7.68,8.09,6.25,5.77,5.73,6.08,5.33,5.31,6.32,5.34,6.35,5.14,5.72,5.2,6.15,6.93,6.26,3.95,5.93,5.3
095Q4,4.97,7.83,8.25,6.49,5.41,6.12,6.67,5.63,4.92,6.6,5.46,6.2,5.39,5.83,5.24,6,6.98,6.42,3.93,5.66,5.26
095Q3,5.3,7.78,8.16,6.55,5.6,6.14,7.05,5.89,4.82,6.59,5.33,5.75,5.62,5.81,5.17,6.03,6.68,6.47,3.84,5.3,5.1
095Q2,5.17,7.73,8.08,6.61,5.56,6.17,6.8,5.85,4.8,6.21,5.22,5.75,5.86,5.78,5.11,6.05,6.66,6.79,4.01,5.32,4.94
